clip_id,label_name,predicted_class,final_score,duration
v_ApplyEyeMakeup_g01_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.28766927123069763,0.15123367309570312
v_ApplyEyeMakeup_g01_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2874171733856201,0.11993417739868165
v_ApplyEyeMakeup_g01_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2862989902496338,0.11365257369147407
v_ApplyEyeMakeup_g01_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2849031686782837,0.12240850925445557
v_ApplyEyeMakeup_g01_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2934308648109436,0.1226991891860962
v_ApplyEyeMakeup_g01_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.28270626068115234,0.13452181816101075
v_ApplyEyeMakeup_g02_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.26581621170043945,0.1313088337580363
v_ApplyEyeMakeup_g02_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2663951516151428,0.13872900009155273
v_ApplyEyeMakeup_g02_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.26872801780700684,0.12676012516021729
v_ApplyEyeMakeup_g02_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2548520863056183,0.1428616444269816
v_ApplyEyeMakeup_g03_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.29990723729133606,0.13572001457214355
v_ApplyEyeMakeup_g03_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2886141538619995,0.14819021224975587
v_ApplyEyeMakeup_g03_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.28608039021492004,0.15556210279464722
v_ApplyEyeMakeup_g03_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.2871541380882263,0.15186303853988647
v_ApplyEyeMakeup_g03_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.29001951217651367,0.14508481025695802
v_ApplyEyeMakeup_g03_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.27616041898727417,0.14258801937103271
v_ApplyEyeMakeup_g04_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2648749351501465,0.153275203704834
v_ApplyEyeMakeup_g04_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2675582766532898,0.14865622520446778
v_ApplyEyeMakeup_g04_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.2577199935913086,0.15773576498031616
v_ApplyEyeMakeup_g04_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.262390673160553,0.13489297458103724
v_ApplyEyeMakeup_g04_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2712402939796448,0.16464269161224365
v_ApplyEyeMakeup_g04_c06,ApplyEyeMakeup,ApplyEyeMakeup,0.26334449648857117,0.12495146857367621
v_ApplyEyeMakeup_g04_c07,ApplyEyeMakeup,ApplyEyeMakeup,0.26303744316101074,0.1478818655014038
v_ApplyEyeMakeup_g05_c01,ApplyEyeMakeup,ApplyEyeMakeup,0.2679768204689026,0.12103944354587132
v_ApplyEyeMakeup_g05_c02,ApplyEyeMakeup,ApplyEyeMakeup,0.2713751196861267,0.11676502227783203
v_ApplyEyeMakeup_g05_c03,ApplyEyeMakeup,ApplyEyeMakeup,0.26973190903663635,0.14071913560231528
v_ApplyEyeMakeup_g05_c04,ApplyEyeMakeup,ApplyEyeMakeup,0.27054381370544434,0.12832658631461008
v_ApplyEyeMakeup_g05_c05,ApplyEyeMakeup,ApplyEyeMakeup,0.2680492103099823,0.1295735239982605
